,Player Name,Team,Position,w,k,sv,era,whip,score
575,Lester Oliveros,MIN,RP,1,23,0,4.03,1.4,1432
572,Cameron Bedrosian,LAA,RP,1,35,0,4.42,1.4,1431
660,Robbie Ray,ARI,"SP,RP",2,37,0,4.8,1.48,1429
700,Miguel Alfredo Gonzalez,PHI,RP,2,42,0,4.84,1.56,1418
594,Taylor Thompson,OAK,RP,1,18,0,3.9,1.41,1414
674,Mitchell Boggs,CWS,RP,2,29,1,4.7,1.5,1398
637,Red Patterson,LAD,SP,2,27,0,4.62,1.44,1389
701,Gus Schlosser,COL,RP,3,28,0,5.04,1.54,1383
586,Ian Thomas,ATL,RP,1,22,0,4.2,1.38,1382
675,Chris Bassitt,OAK,"SP,RP",2,32,0,4.41,1.58,1381
599,Aaron Poreda,TEX,RP,1,15,0,4.18,1.36,1379
678,Clayton Mortensen,KC,RP,2,35,0,4.86,1.48,1379
670,Jonathan Pettibone,PHI,SP,2,28,0,4.52,1.48,1376
602,Ian Krol,DET,RP,1,26,0,4.33,1.39,1366
657,David Martinez,HOU,RP,2,27,0,4.81,1.43,1364
611,Darin Downs,HOU,RP,1,29,0,4.63,1.37,1361
723,Joe Saunders,BAL,"SP,RP",2,36,0,4.96,1.5,1360
633,Dallas Beeler,CHC,"SP,RP",2,21,0,4.49,1.44,1348
714,Yohan Flande,COL,"SP,RP",2,32,0,5.17,1.45,1342
608,Jose Valverde,NYM,RP,1,26,0,4.57,1.37,1336
596,Rich Hill,WSH,RP,1,23,0,4.09,1.44,1335
612,Matt Guerrier,MIN,RP,2,19,0,4.33,1.46,1335
605,Bryan Price,CLE,RP,1,21,0,4.56,1.35,1331
627,Josh Lueke,TB,RP,1,29,0,4.61,1.39,1328
735,Chien-Ming Wang,FA,"SP,RP",3,24,0,5.14,1.53,1327
607,Leonel Campos,SD,RP,1,35,0,4.24,1.51,1324
764,Bradin Hagens,ARI,RP,3,31,0,5.51,1.69,1323
604,C.J. Riefenhauser,TB,RP,1,18,0,4.21,1.39,1315
665,Jake Buchanan,HOU,RP,2,24,0,4.79,1.44,1312
606,Jairo Diaz,COL,RP,2,26,0,4.66,1.47,1308
629,Rudy Owens,HOU,"SP,RP",2,18,0,4.83,1.4,1304
603,Joe Savery,OAK,RP,2,19,0,4.58,1.44,1301
636,Drake Britton,CHC,RP,2,24,0,4.47,1.51,1297
616,Michael Bolsinger,LAD,"SP,RP",1,27,0,4.4,1.42,1286
617,Josh Wall,PIT,RP,1,21,0,4.17,1.43,1280
751,Steve Johnson,BAL,"SP,RP",2,40,0,5.9,1.63,1273
693,Alfredo Aceves,NYY,RP,2,30,0,5.31,1.47,1271
624,Hector Ambriz,SD,RP,1,21,0,4.35,1.4,1265
615,Lucas Luetge,SEA,RP,1,22,0,4.21,1.44,1257
663,Branden Pinder,NYY,RP,2,27,0,5.1,1.47,1254
644,Carlos Marmol,MIA,RP,1,34,2,4.61,1.62,1254
699,Bo Schultz,TOR,RP,2,27,0,5.06,1.48,1246
741,Bryan Mitchell,NYY,"P,RP",2,35,0,5.36,1.58,1236
622,Chad Smith,OAK,RP,2,19,0,4.73,1.45,1235
641,Blake Wood,CLE,RP,2,23,0,4.48,1.6,1232
652,Drew VerHagen,DET,"SP,RP",2,18,0,4.72,1.45,1228
762,Logan Darnell,MIN,"SP,RP",2,36,0,6.13,1.59,1222
768,Josh Stinson,BAL,RP,2,37,0,6.03,1.65,1221
690,Jim Miller,NYY,RP,2,30,0,5.24,1.54,1207
